ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1050	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1050	429,475,485	234,170,242	103,189,176	204,249,226	92	74	0.0	0.0	0.596,0.692,0.617	0.289,0.379,0.385	0.284
1860	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1860	179,164,155	167,156,135	38,49,46	87,143,205	482	74	0.0	0.0	0.141,0.139,0.15	0.063,0.05,0.033	0.095
2347	"FBgn0003261"	"Rm62"	chr3R	-	6008036	6008309	6008036	6008306	6008550	6008579	2347	85,78,105	31,31,41	58,93,68	182,246,203	77	74	0.0	0.0	0.725,0.707,0.711	0.234,0.266,0.244	0.466
945	"FBgn0010348"	"Arf79F"	chr3L	-	22869841	22870150	22869841	22870065	22871923	22872052	945	6072,4934,5367	319,254,269	4433,6517,5803	90,76,117	159	74	0.0	0.0	0.899,0.9,0.903	0.958,0.976,0.958	-0.063
1474	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1474	2770,2844,2936	110,98,84	1925,2370,2489	19,17,33	744	74	1.11022302463e-16	3.39506200932e-14	0.715,0.743,0.777	0.91,0.933,0.882	-0.163
381	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18248214	18248579	18248232	18248579	18247970	18248151	381	4338,4080,4339	1346,1300,1336	2793,3714,3902	419,605,575	92	74	5.55111512313e-16	1.41460917054e-13	0.722,0.716,0.723	0.843,0.832,0.845	-0.12
582	"FBgn0041775"	"tral"	chr3L	+	12517415	12517957	12517427	12517957	12516558	12517059	582	147,114,125	120,105,98	27,47,50	78,114,143	86	74	4.55191440096e-15	9.94268159867e-13	0.513,0.483,0.523	0.229,0.262,0.231	0.266
771	"FBgn0031217"	"CG11377"	chr2L	+	103515	104142	103877	104142	103005	103434	771	1382,1346,1528	8,7,7	990,1280,1305	23,47,25	436	74	1.29563026974e-13	2.47627335304e-11	0.967,0.97,0.974	0.88,0.822,0.899	0.103
1780	"FBgn0034638"	"CG10433"	chr2R	-	21605675	21606360	21605675	21606193	21606467	21606617	1780	61,102,63	48,44,47	20,15,30	35,66,90	241	74	5.74873482151e-13	9.76646171343e-11	0.281,0.416,0.292	0.149,0.065,0.093	0.227
1532	"FBgn0260944"	"Rbp1"	chr3R	+	10785402	10786465	10786157	10786465	10784556	10784923	1532	380,292,349	563,506,655	211,248,239	151,167,233	829	74	1.09923181668e-12	1.6807254477e-10	0.057,0.049,0.045	0.111,0.117,0.084	-0.054
1669	"FBgn0040666"	"CG12848"	chr2R	-	24762565	24762981	24762565	24762972	24763032	24763094	1669	20,15,26	52,40,76	5,12,10	117,120,166	83	74	1.05587760757e-11	1.46766987452e-09	0.255,0.251,0.234	0.037,0.082,0.051	0.19
1207	"FBgn0027279"	"l(1)G0196"	chrX	+	22502194	22502869	22502635	22502869	22498306	22498619	1207	1474,1321,1363	49,30,53	1567,1638,1548	9,7,29	515	74	4.60836924177e-11	5.87183047556e-09	0.812,0.864,0.787	0.962,0.971,0.885	-0.118
2169	"FBgn0261602"	"RpL8"	chr3L	+	2587575	2587890	2587750	2587890	2587455	2587513	2169	706,563,716	5899,4972,5828	268,359,336	3940,4916,5938	249	74	9.1826990456e-11	1.08002668006e-08	0.034,0.033,0.035	0.02,0.021,0.017	0.015
17	"FBgn0013765"	"cnn"	chr2R	-	13442933	13443158	13442933	13443128	13444427	13444694	17	27,18,17	62,63,56	2,3,3	37,60,68	104	74	3.96278232451e-10	4.05132523233e-08	0.237,0.169,0.178	0.037,0.034,0.03	0.161
