ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1645	"FBgn0027549"	"CG7927"	chr3L	+	8112781	8113320	8113011	8113320	8112493	8112714	1645	274,192,306	176,159,174	92,88,105	191,158,204	304	74	0.0	0.0	0.275,0.227,0.3	0.105,0.119,0.111	0.156
1880	"FBgn0052423"	"shep"	chr3L	-	5162455	5162631	5162455	5162610	5162966	5163149	1880	164,141,164	291,266,289	82,77,97	383,282,443	95	74	5.6221693967e-13	4.40215863762e-10	0.305,0.292,0.307	0.143,0.175,0.146	0.147
1905	"FBgn0036240"	"CG6928"	chr3L	+	12007493	12008051	12007615	12008051	12007220	12007400	1905	86,77,78	27,28,33	26,25,30	46,28,50	196	74	1.03905772875e-12	5.42388134408e-10	0.546,0.509,0.472	0.176,0.252,0.185	0.305
1053	"FBgn0250823"	"gish"	chr3R	+	16301804	16302372	16301822	16302372	16301244	16301351	1053	429,475,485	234,170,242	316,240,324	318,248,279	92	74	2.94601676387e-10	1.10709143453e-07	0.596,0.692,0.617	0.444,0.438,0.483	0.18
621	"FBgn0004587"	"B52"	chr3R	+	13662954	13663051	13662969	13663051	13662296	13662404	621	226,212,252	517,450,528	119,103,126	532,414,563	89	74	3.53477469517e-10	1.10709143453e-07	0.267,0.281,0.284	0.157,0.171,0.157	0.116
1643	"FBgn0262582"	"cic"	chr3R	+	20297096	20298532	20298383	20298532	20296199	20296499	1643	507,510,361	52,58,40	247,209,340	71,51,81	1361	74	1.644820391e-09	4.01286465201e-07	0.346,0.323,0.329	0.159,0.182,0.186	0.157
1767	"FBgn0031228"	"CG11455"	chr2L	+	155566	155784	155637	155784	155334	155429	1767	576,494,701	29,26,38	747,536,766	10,3,18	145	74	1.79374537446e-09	4.01286465201e-07	0.91,0.907,0.904	0.974,0.989,0.956	-0.066
1876	"FBgn0267698"	"Pak"	chr3R	+	6357874	6359022	6358282	6359022	6356749	6357340	1876	179,164,155	167,156,135	74,57,98	150,125,169	482	74	8.87022777452e-09	1.73634708686e-06	0.141,0.139,0.15	0.07,0.065,0.082	0.071
2323	"FBgn0039858"	"CycG"	chr3R	-	31601415	31603073	31601415	31602230	31610880	31610978	2323	958,766,497	155,94,87	799,680,920	230,178,278	917	74	2.49316277623e-08	4.33810323064e-06	0.333,0.397,0.316	0.219,0.236,0.211	0.127
1768	"FBgn0031228"	"CG11455"	chr2L	+	155545	155784	155637	155784	155334	155429	1768	552,496,649	29,26,38	634,463,688	10,3,18	166	74	2.78522493957e-08	4.36166225537e-06	0.895,0.895,0.884	0.966,0.986,0.945	-0.074
631	"FBgn0020236"	"ATPCL"	chr2R	-	15996166	15996365	15996166	15996314	15996894	15997218	631	521,500,470	55,59,55	607,570,687	28,30,35	125	74	8.22141799084e-08	1.17043096124e-05	0.849,0.834,0.835	0.928,0.918,0.921	-0.083
1975	"FBgn0034418"	"CG15118"	chr2R	-	19133726	19134726	19133726	19134431	19134882	19135625	1975	50,52,58	91,103,109	17,17,26	108,93,92	369	74	1.93089257028e-07	2.51981480422e-05	0.099,0.092,0.096	0.031,0.035,0.054	0.056
1895	"FBgn0020767"	"Spred"	chr2R	-	14762918	14763074	14762918	14763008	14763830	14763999	1895	242,216,201	34,43,37	281,210,295	15,12,26	140	74	2.99147090765e-07	3.31379788042e-05	0.79,0.726,0.742	0.908,0.902,0.857	-0.136
2227	"FBgn0010909"	"msn"	chr3L	-	2557792	2558389	2557792	2558035	2560115	2560295	2227	2044,1930,1644	63,52,46	1788,1645,2099	89,93,121	428	74	3.17413590079e-07	3.31379788042e-05	0.849,0.865,0.861	0.776,0.754,0.75	0.098
618	"FBgn0039560"	"CG5514"	chr3R	+	27942434	27942778	27942587	27942778	27939706	27942133	618	98,91,111	18,25,31	69,27,55	39,30,43	227	74	3.08611254329e-07	3.31379788042e-05	0.64,0.543,0.539	0.366,0.227,0.294	0.278
380	"FBgn0020238"	"14-3-3epsilon"	chr3R	+	18248214	18248579	18248232	18248579	18247970	18248151	380	4338,4080,4339	1346,1300,1336	3715,2892,3586	1784,1399,1731	92	74	3.6994964403e-07	3.62088214094e-05	0.722,0.716,0.723	0.626,0.624,0.625	0.095
583	"FBgn0041775"	"tral"	chr3L	+	12517415	12517957	12517427	12517957	12516558	12517059	583	147,114,125	120,105,98	98,91,119	194,135,174	86	74	4.43884251466e-07	4.08895728115e-05	0.513,0.483,0.523	0.303,0.367,0.37	0.16
1485	"FBgn0033212"	"CG1399"	chr2R	-	7677069	7678404	7677069	7677734	7678569	7678626	1485	2770,2844,2936	110,98,84	3082,2493,3327	69,34,59	744	74	5.09833871787e-07	4.43555468455e-05	0.715,0.743,0.777	0.816,0.879,0.849	-0.103
397	"FBgn0039711"	"CG7824"	chr3R	-	29857651	29858718	29857651	29858650	29858774	29858936	397	194,130,147	8,8,9	179,111,171	2,1,0	142	74	8.38594954256e-07	6.91178788613e-05	0.927,0.894,0.895	0.979,0.983,1.0	-0.082
