ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1019	"FBgn0029002"	"miple2"	chr3L	+	274594	274813	274594	274807	274866	275018	1019	27,50,35	391,527,433	224,274,279	461,590,624	79	74	0.0	0.0	0.061,0.082,0.07	0.313,0.303,0.295	-0.233
1727	"FBgn0064225"	"RpL5"	chr2L	-	22536536	22536650	22536620	22536650	22536114	22536378	1727	3890,6267,4354	12,16,13	3371,4071,5807	66,80,107	148	74	0.0	0.0	0.994,0.995,0.994	0.962,0.962,0.964	0.032
206	"FBgn0035438"	"PHGPx"	chr3L	+	3326264	3326712	3326264	3326367	3327859	3328183	206	659,913,727	588,870,639	488,573,630	878,1331,1318	148	74	0.0	0.0	0.359,0.344,0.363	0.217,0.177,0.193	0.16
213	"FBgn0029897"	"RpL17"	chrX	-	6744108	6744238	6744195	6744238	6743057	6743148	213	147,207,147	95,115,112	79,75,133	283,292,316	148	74	0.0	0.0	0.436,0.474,0.396	0.122,0.114,0.174	0.299
2144	"FBgn0004657"	"mys"	chrX	+	8061644	8061870	8061644	8061725	8063839	8064459	2144	176,269,188	58,109,65	72,139,108	210,281,255	148	74	0.0	0.0	0.603,0.552,0.591	0.146,0.198,0.175	0.409
2152	"FBgn0036213"	"RpL10Ab"	chr3L	+	11823199	11823565	11823199	11823355	11823657	11824211	2152	198,263,218	6323,8287,6716	380,371,343	2425,3615,3725	148	74	0.0	0.0	0.015,0.016,0.016	0.073,0.049,0.044	-0.04
2236	"FBgn0010408"	"RpS9"	chr3L	-	9510281	9510651	9510464	9510651	9509889	9510158	2236	909,1625,1180	6484,8309,6351	73,117,205	2552,3304,4305	148	74	0.0	0.0	0.066,0.089,0.085	0.014,0.017,0.023	0.062
2640	"FBgn0011760"	"ctp"	chrX	+	4688202	4688672	4688202	4688317	4691636	4691844	2640	43,52,32	632,804,649	117,155,151	494,581,630	148	74	0.0	0.0	0.033,0.031,0.024	0.106,0.118,0.107	-0.081
478	"FBgn0003392"	"shi"	chrX	+	15892199	15892440	15892199	15892251	15892827	15893150	478	131,147,126	13,26,18	115,130,97	116,116,95	148	74	0.0	0.0	0.834,0.739,0.778	0.331,0.359,0.338	0.441
547	"FBgn0039359"	"RpL27"	chr3R	-	25684958	25685051	25685024	25685051	25684006	25684516	547	70,110,74	108,155,122	81,147,137	355,709,638	139	74	0.0	0.0	0.257,0.274,0.244	0.108,0.099,0.103	0.155
86	"FBgn0038294"	"Mf"	chr3R	-	15176538	15178489	15178279	15178489	15176363	15176433	86	82,96,81	609,918,676	7,14,17	389,424,563	148	74	0.0	0.0	0.063,0.05,0.057	0.009,0.016,0.015	0.043
