ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1918	"FBgn0058263"	"MFS17"	chr2R	-	2520578	2522511	2521440	2522511	2494741	2495023	1918	1153	311	659	8	937	75	0.0	0.0	0.229	0.868	-0.639
200	"FBgn0004907"	"14-3-3zeta"	chr2R	+	10099676	10099850	10099676	10099738	10104255	10104409	200	3290	1193	1939	409	187	75	0.0	0.0	0.525	0.655	-0.13
2015	"FBgn0010415"	"Sdc"	chr2R	-	21398886	21399313	21399174	21399313	21398064	21398583	2015	121	125	412	66	363	75	0.0	0.0	0.167	0.563	-0.396
2016	"FBgn0010415"	"Sdc"	chr2R	-	21398886	21399313	21399174	21399313	21398064	21398580	2016	121	191	413	88	363	75	0.0	0.0	0.116	0.492	-0.376
202	"FBgn0032956"	"Cul2"	chr2L	+	21658734	21658961	21658734	21658854	21659094	21659272	202	632	444	777	80	182	75	0.0	0.0	0.37	0.8	-0.43
2124	"FBgn0013272"	"Gp150"	chr2R	+	22317661	22317776	22317661	22317737	22317881	22317954	2124	121	740	162	267	114	75	0.0	0.0	0.097	0.285	-0.188
2261	"FBgn0022029"	"l(2)k01209"	chr2R	+	17420406	17421946	17420406	17420573	17423655	17423963	2261	1876	366	1954	61	1448	75	0.0	0.0	0.21	0.624	-0.414
2288	"FBgn0027081"	"Aats-thr"	chr2L	+	12103750	12104056	12103750	12103834	12104491	12104552	2288	535	808	756	180	297	75	0.0	0.0	0.143	0.515	-0.372
2295	"FBgn0027932"	"Akap200"	chr2L	+	8427614	8429462	8427614	8428067	8430280	8430977	2295	6225	263	6648	91	1470	75	0.0	0.0	0.547	0.788	-0.241
244	"FBgn0010280"	"Taf4"	chr3L	+	16116031	16116619	16116031	16116241	16117544	16118108	244	70	163	412	103	453	75	0.0	0.0	0.066	0.398	-0.332
2492	"FBgn0003261"	"Rm62"	chr3R	-	6002062	6003911	6003672	6003911	6001557	6001736	2492	2544	3676	1846	1268	1685	75	0.0	0.0	0.03	0.061	-0.031
2591	"FBgn0011760"	"ctp"	chrX	+	4688202	4688672	4688202	4688317	4691636	4691844	2591	458	1790	659	696	430	75	0.0	0.0	0.043	0.142	-0.099
